,RNFS;ancramir;VDIRPA372;90.128.1.120;GenerarLog;2024216;8:29:49
112,(16/02/2024 9:45:39 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Historicos) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
113,(16/02/2024 9:45:39 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Proyecciones) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
114,(16/02/2024 9:45:42 a. m.) ;CargarArchivos; Respuesta Gdrive: 14NwgA-FQBbahOKqXhWlw7CFGg9OunKh8
115,"(16/02/2024 9:45:42 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
116,"(16/02/2024 9:45:43 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
117,(16/02/2024 9:45:43 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
118,(16/02/2024 9:45:44 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
119,(16/02/2024 9:45:44 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_His_Pro) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
120,(16/02/2024 9:45:44 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Historicos) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
121,(16/02/2024 9:45:44 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Proyecciones) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
122,(16/02/2024 9:45:46 a. m.) ;CargarArchivos; Respuesta Gdrive: 14NwgA-FQBbahOKqXhWlw7CFGg9OunKh8
123,(16/02/2024 9:45:50 a. m.) ;MaestraNotificaciones1;Correo enviado
124,RNFS;ancramir;VDIRPA372;90.128.1.120;GenerarLog;2024216;9:49:37
125,(16/02/2024 9:49:39 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo configuracion.json ID: 1oto3xGnesJQB3ZR61J05u1nlfOpTiJcs
126,(16/02/2024 9:49:40 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo Parametros.xlsx ID: 1qsx1GnRzLNn2Xvvfvws5mKyFlivQ48q1VeyI9lqE9ZU
127,(16/02/2024 9:49:46 a. m.) ;Configuracion;CMD; (Taskkill) ejecutado
128,(16/02/2024 9:49:47 a. m.) ;Configuracion;No aplica;Archivos eliminados de la carpeta 'Archivos'
129,(16/02/2024 9:49:47 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_Historicos' eliminada de la carpeta 'Archivos'
130,(16/02/2024 9:49:47 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_His_Pro' eliminada de la carpeta 'Archivos'
131,(16/02/2024 9:49:47 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_Proyecciones' eliminada de la carpeta 'Archivos'
132,(16/02/2024 9:49:47 a. m.) ;Configuracion;Cargue configuración exitoso
133,(16/02/2024 9:49:47 a. m.) ;MaestraNotificaciones1;Inicio Tarea
134,"(16/02/2024 9:49:50 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
